2016-10-01 08:53:13.1332 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:13.1659 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:53:13.1800 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:13.2533 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:53:13.2635 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:13.2733 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:53:13.2733 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:15.7855 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:53:15.7972 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:15.8114 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-01 08:53:15.8221 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-01 08:53:15.8221 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:15.8427 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:53:15.8534 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:15.8534 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-01 08:53:15.8729 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-01 08:53:15.8832 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:19.4215 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:53:19.4318 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:19.4318 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:53:19.4518 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:19.5216 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:53:19.5358 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:19.5495 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:53:19.5641 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:19.6017 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:53:19.6017 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:19.6217 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:53:19.6330 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:53:19.8815 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:53:19.8815 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:53:19.9015 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:53:19.9015 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
