2016-10-06 04:12:03.6809 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 04:12:03.6946 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 04:12:03.7268 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 04:12:03.7268 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 04:12:03.7390 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 04:12:03.7390 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 04:12:03.7390 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 04:12:03.7390 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 04:12:03.7534 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 04:12:03.7534 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 04:12:03.8757 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 04:12:03.8855 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 04:12:03.8855 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 04:12:03.8972 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 05:21:01.2186 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-06 05:21:01.3195 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-06 05:21:01.4291 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-06 05:21:01.5299 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-06 05:21:01.6757 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 05:21:01.6757 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 05:21:01.7003 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 05:21:01.7003 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 05:21:02.0224 | VeraHuesBridge.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-06 05:21:02.0224 | VeraHuesBridge.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-06 05:21:02.2416 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 05:21:02.2416 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 05:21:02.2416 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 05:21:02.2533 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 05:21:02.2533 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 05:21:02.2533 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 05:21:02.2533 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 05:21:02.2709 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 06:44:14.7456 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-06 06:44:14.8484 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-06 06:44:14.9532 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-06 06:44:15.0550 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-06 06:44:15.2527 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 06:44:15.2566 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 06:44:15.2566 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 06:44:15.2566 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 06:44:15.2761 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 06:44:15.2761 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 06:44:15.2859 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 06:44:15.2859 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 06:44:15.7317 | VeraHuesBridge.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-06 06:44:15.7317 | VeraHuesBridge.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-06 06:44:15.7376 | VeraHuesBridge.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-06 06:44:15.7376 | VeraHuesBridge.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-06 06:44:16.0652 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 06:44:16.0740 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 06:44:16.0740 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 06:44:16.0867 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 06:44:16.0867 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 06:44:16.0867 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 06:44:16.1033 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 06:44:16.0867 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 06:44:16.1131 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 06:44:16.1292 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 06:44:16.1131 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 06:44:16.1292 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 06:44:16.1455 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 06:44:16.1455 | VeraHuesBridge.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 06:44:16.1641 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 06:44:16.1641 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 08:06:42.4431 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 08:06:42.4704 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 08:20:46.4046 | VeraHuesBridge.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 08:20:46.4246 | VeraHuesBridge.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 08:55:57.5660 | VeraHuesBridge.SSDPService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-10-06 08:55:57.6363 | VeraHuesBridge.SSDPService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-10-06 08:55:57.6363 | VeraHuesBridge.SSDPService | INFO | Joining multicast group on IP [192.168.0.176]... |  
2016-10-06 08:55:57.6461 | VeraHuesBridge.SSDPService | INFO | Starting Multicast Receiver... |  
2016-10-06 08:55:57.6461 | VeraHuesBridge.SSDPService | INFO | SSDP Service started. |  
2016-10-06 08:55:57.7264 | VeraHuesBridge.WebServer | INFO | New webserver initiated. |  
2016-10-06 08:55:57.7381 | VeraHuesBridge.Devices | INFO | Created Devices from object |  
2016-10-06 08:55:57.7381 | VeraHuesBridge.Devices | INFO | Created [2] Device(s) from object. |  
2016-10-06 08:55:57.7381 | VeraHuesBridge.WebServer | INFO | Webserver created.  DeviceConfig holds [2] device(s) |  
2016-10-06 08:55:57.7816 | VeraHuesBridge.WebServer | INFO | Webserver starting up, listening on http://192.168.0.176:8080/ |  
2016-10-06 08:55:58.0746 | VeraHuesBridge.WebServerStartup | INFO | Webserver configuration initiated... |  
2016-10-06 08:55:58.2630 | VeraHuesBridge.WebServer | INFO | Webserver started. |  
2016-10-06 09:17:03.6611 | VeraHuesBridge.SSDP.SsdpService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-10-06 09:17:03.7529 | VeraHuesBridge.SSDP.SsdpService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-10-06 09:17:03.7529 | VeraHuesBridge.SSDP.SsdpService | INFO | Joining multicast group on IP [192.168.0.176]... |  
2016-10-06 09:17:03.7529 | VeraHuesBridge.SSDP.SsdpService | INFO | Starting Multicast Receiver... |  
2016-10-06 09:17:03.7695 | VeraHuesBridge.SSDP.SsdpService | INFO | SSDP Service started. |  
2016-10-06 09:17:03.8378 | VeraHuesBridge.Webserver.WebServer | INFO | New webserver initiated. |  
2016-10-06 09:17:03.8491 | VeraHuesBridge.Devices.Devices | INFO | Created Devices from object |  
2016-10-06 09:17:03.8491 | VeraHuesBridge.Devices.Devices | INFO | Created [2] Device(s) from object. |  
2016-10-06 09:17:03.8491 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver created.  DeviceConfig holds [2] device(s) |  
2016-10-06 09:17:03.8852 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver starting up, listening on http://192.168.0.176:8080/ |  
2016-10-06 09:17:04.1762 | VeraHuesBridge.Webserver.WebServerStartup | INFO | Webserver configuration initiated... |  
2016-10-06 09:17:04.3818 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver started. |  
2016-10-06 09:18:18.3001 | VeraHuesBridge.SSDP.SsdpService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-10-06 09:18:18.4036 | VeraHuesBridge.SSDP.SsdpService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-10-06 09:18:18.4036 | VeraHuesBridge.SSDP.SsdpService | INFO | Joining multicast group on IP [192.168.0.176]... |  
2016-10-06 09:18:18.4119 | VeraHuesBridge.SSDP.SsdpService | INFO | Starting Multicast Receiver... |  
2016-10-06 09:18:18.4119 | VeraHuesBridge.SSDP.SsdpService | INFO | SSDP Service started. |  
2016-10-06 09:18:18.5033 | VeraHuesBridge.Webserver.WebServer | INFO | New webserver initiated. |  
2016-10-06 09:18:18.5033 | VeraHuesBridge.Devices.Devices | INFO | Created Devices from object |  
2016-10-06 09:18:18.5033 | VeraHuesBridge.Devices.Devices | INFO | Created [2] Device(s) from object. |  
2016-10-06 09:18:18.5208 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver created.  DeviceConfig holds [2] device(s) |  
2016-10-06 09:18:18.5785 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver starting up, listening on http://192.168.0.176:8080/ |  
2016-10-06 09:18:18.8641 | VeraHuesBridge.Webserver.WebServerStartup | INFO | Webserver configuration initiated... |  
2016-10-06 09:18:19.1219 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver started. |  
2016-10-06 09:18:44.2268 | VeraHuesBridge.Controllers.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 09:18:44.2483 | VeraHuesBridge.Controllers.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 09:21:54.7693 | VeraHuesBridge.SSDP.SsdpService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-10-06 09:21:54.8601 | VeraHuesBridge.SSDP.SsdpService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-10-06 09:21:54.8635 | VeraHuesBridge.SSDP.SsdpService | INFO | Joining multicast group on IP [192.168.0.176]... |  
2016-10-06 09:21:54.8635 | VeraHuesBridge.SSDP.SsdpService | INFO | Starting Multicast Receiver... |  
2016-10-06 09:21:54.8635 | VeraHuesBridge.SSDP.SsdpService | INFO | SSDP Service started. |  
2016-10-06 09:21:54.9338 | VeraHuesBridge.Webserver.WebServer | INFO | New webserver initiated. |  
2016-10-06 09:21:54.9431 | VeraHuesBridge.Devices.Devices | INFO | Created Devices from object |  
2016-10-06 09:21:54.9431 | VeraHuesBridge.Devices.Devices | INFO | Created [2] Device(s) from object. |  
2016-10-06 09:21:54.9431 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver created.  DeviceConfig holds [2] device(s) |  
2016-10-06 09:21:55.0031 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver starting up, listening on http://192.168.0.176:8080/ |  
2016-10-06 09:21:55.3340 | VeraHuesBridge.Webserver.WebServerStartup | INFO | Webserver configuration initiated... |  
2016-10-06 09:21:55.6037 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver started. |  
2016-10-06 09:31:45.1192 | HomegenieTestApplication.HgHelper | INFO | Dynamically generating objects from Homegenie api |  
2016-10-06 09:31:45.1837 | HomegenieTestApplication.HgHelper | INFO | Valid Guid found for module Boiler Switch, property Name: Module.GUID |  
2016-10-06 09:31:45.1920 | HomegenieTestApplication.HgHelper | INFO | Valid Guid found for module Big Light, property Name: Module.GUID |  
2016-10-06 09:31:45.2755 | VeraHuesBridge.SSDP.SsdpService | INFO | New SSDP Service initiated on IP [239.255.255.250], port [1900] |  
2016-10-06 09:31:45.2857 | VeraHuesBridge.SSDP.SsdpService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900] |  
2016-10-06 09:31:45.2857 | VeraHuesBridge.SSDP.SsdpService | INFO | Joining multicast group on IP [192.168.0.176] |  
2016-10-06 09:31:45.2857 | VeraHuesBridge.SSDP.SsdpService | INFO | Starting Multicast Receiver |  
2016-10-06 09:31:45.2857 | VeraHuesBridge.SSDP.SsdpService | INFO | SSDP Service started. |  
2016-10-06 09:31:45.3653 | VeraHuesBridge.Devices.Devices | INFO | Created Devices from object |  
2016-10-06 09:31:45.3653 | VeraHuesBridge.Devices.Devices | INFO | Created [2] Device(s) from object. |  
2016-10-06 09:31:45.3805 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver created. Config holds [2] device(s) |  
2016-10-06 09:31:45.4347 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver starting up, listening on http://192.168.0.176:8080/ |  
2016-10-06 09:31:45.8114 | VeraHuesBridge.Webserver.WebServerStartup | INFO | Webserver configuration initiated... |  
2016-10-06 09:31:45.9791 | VeraHuesBridge.Webserver.WebServer | INFO | Webserver started |  
2016-10-06 09:31:55.5897 | VeraHuesBridge.SSDP.SsdpService | INFO | Sending SSDP setup information... |  
2016-10-06 09:31:55.6906 | VeraHuesBridge.SSDP.SsdpService | INFO | Sending SSDP setup information... |  
2016-10-06 09:31:55.7973 | VeraHuesBridge.SSDP.SsdpService | INFO | Sending SSDP setup information... |  
2016-10-06 09:31:55.8991 | VeraHuesBridge.SSDP.SsdpService | INFO | Sending SSDP setup information... |  
2016-10-06 09:31:57.2682 | VeraHuesBridge.Controllers.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 09:31:57.2682 | VeraHuesBridge.Controllers.SetupController | INFO | SetupController GET called (// GET api/setup.xml) |  
2016-10-06 09:31:57.2711 | VeraHuesBridge.Controllers.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 09:31:57.2711 | VeraHuesBridge.Controllers.SetupController | INFO | SetupController GET returned hue template. |  
2016-10-06 09:31:57.4926 | VeraHuesBridge.Controllers.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-06 09:31:57.4926 | VeraHuesBridge.Controllers.LightsController | INFO | LightsController called. (// GET api/{userId}/lights)... |  
2016-10-06 09:31:57.7118 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 09:31:57.7118 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) called with userid [yvtm39JT4agNur3VeJVTNBFhHQ9V6hXaaOcYGrW8] |  
2016-10-06 09:31:57.7216 | VeraHuesBridge.Devices.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 09:31:57.7216 | VeraHuesBridge.Devices.DeviceResponse | INFO | Creating a device response object with name[Boiler Switch], id [eb552128-edf5-4667-9752-8549529b308f]. |  
2016-10-06 09:31:57.7216 | VeraHuesBridge.Devices.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 09:31:57.7431 | VeraHuesBridge.Devices.DeviceResponse | INFO | Creating a device response object with name[Big Light], id [0f815d1e-335b-4ed6-87a6-c7a68a996f47]. |  
2016-10-06 09:31:57.7431 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
2016-10-06 09:31:57.7431 | VeraHuesBridge.Controllers.HueApiController | INFO | ApiController GET (api/userId) returned HueApi device with [2] light(s) |  
