2016-10-03 07:51:38.7500 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:52:32.7876 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:52:32.8169 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:53:26.9294 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:53:26.9587 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:54:21.0033 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:54:21.0189 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:55:15.0560 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:55:15.0916 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:56:09.1209 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:56:09.1521 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:57:03.3415 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:57:03.3728 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:57:57.4181 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:57:57.4494 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:58:51.6156 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:58:51.6549 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:59:46.0354 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 07:59:46.0596 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:00:40.2651 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:00:40.2964 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:01:34.4863 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:01:34.5175 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:02:28.5560 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:02:28.5717 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:03:22.3309 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:03:22.3465 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:04:16.5308 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:04:16.5515 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:05:10.7353 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:05:10.7617 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:06:04.7936 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:06:04.8092 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:06:59.2250 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:06:59.2406 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:07:53.2772 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:07:53.3065 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:08:47.5164 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:08:47.5366 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:09:41.9045 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:09:41.9362 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:10:35.9784 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:10:35.9941 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:11:30.4410 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:11:30.4723 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:12:24.9752 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:12:24.9925 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:13:19.1607 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:13:19.2002 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:14:13.3506 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:14:13.3974 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:15:07.7719 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:15:07.7875 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:16:01.9931 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:16:02.0243 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:16:56.2262 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:16:56.2479 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:17:50.4695 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:17:50.4851 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:18:44.5222 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:18:44.5535 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:19:38.5925 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:19:38.6128 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:20:32.6498 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:20:32.6811 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:21:26.7211 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:21:26.7523 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:22:20.7889 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:22:20.8177 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:23:14.8628 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:23:14.8785 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:24:09.3076 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:24:09.3232 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:25:03.3745 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:25:03.3901 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:25:57.4267 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:25:57.4604 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:26:51.5167 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:26:51.5480 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:27:45.5850 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:27:45.6143 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:28:39.7744 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:28:39.8057 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:29:34.0107 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-03 08:29:34.0556 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
